iter	Passed	Remaining
139	17076	104900
140	17212	104863
141	17329	104710
142	17449	104576
143	17622	104755
144	17745	104637
145	17858	104462
146	17988	104381
147	18100	104198
148	18245	104209
149	18369	104092
150	18491	103971
151	18611	103831
152	18723	103651
153	18843	103517
154	18970	103420
155	19089	103277
156	19202	103105
157	19329	103011
158	19463	102946
159	19578	102787
160	19689	102602
161	19844	102653
162	19975	102573
163	20088	102400
164	20248	102468
165	20369	102340
166	20485	102182
167	20594	101989
168	20719	101882
169	20836	101729
170	20958	101603
171	21073	101449
172	21232	101499
173	21356	101379
174	21500	101358
175	21635	101292
176	21770	101228
177	21885	101065
178	22019	100995
179	22157	100939
180	22286	100844
181	22399	100676
182	22518	100534
183	22675	100559
184	22835	100601
185	23031	100792
186	23377	101636
187	23685	102303
188	23892	102524
189	24106	102769
190	24352	103146
191	24592	103492
192	24892	104084
193	25061	104120
194	25259	104277
195	25662	105268
196	25903	105588
197	26152	105931
198	26369	106140
199	26576	106304
200	26751	106339
201	26954	106483
202	27123	106491
203	27350	106719
204	27566	106904
205	27756	106983
206	27987	107217
207	28162	107235
208	28338	107251
209	28474	107119
210	28624	107037
211	28788	107007
212	28927	106882
213	29087	106836
214	29240	106760
215	29405	106731
216	29582	106744
217	29777	106816
218	30024	107073
219	30206	107095
220	30349	106978
221	30482	106824
222	30649	106793
223	30812	106743
224	30980	106711
225	31165	106733
226	31345	106738
227	31518	106721
228	31697	106719
229	31834	106576
230	32046	106682
231	32218	106654
232	32381	106595
233	32533	106498
234	32670	106354
235	32802	106189
236	32935	106031
237	33057	105840
238	33194	105694
239	33366	105661
240	33505	105521
241	33658	105426
242	33806	105314
243	33941	105163
244	34059	104959
245	34190	104796
246	34323	104637
247	34445	104447
248	34612	104393
249	34774	104323
250	34908	104169
251	35036	103998
252	35179	103868
253	35320	103737
254	35457	103591
255	35584	103417
256	35700	103212
257	35832	103053
258	35961	102884
259	36095	102732
260	36212	102532
261	36333	102344
262	36462	102178
263	36584	101992
264	36721	101850
265	36861	101715
266	37031	101664
267	37178	101546
268	37322	101422
269	37464	101294
270	37615	101185
271	37780	101117
272	37943	101044
273	38112	100983
274	38288	100942
275	38443	100845
276	38591	100728
277	38711	100538
278	38852	100403
279	38980	100235
280	39111	100074
281	39235	99896
282	39367	99741
283	39501	99588
284	39636	99438
285	39778	99306
286	39888	99096
287	40068	99058
288	40203	98909
289	40316	98706
290	40443	98538
291	40610	98467
292	40750	98328
293	40886	98184
294	41021	98035
295	41155	97884
296	41285	97722
297	41411	97552
298	41539	97389
299	41645	97171
300	41775	97012
301	41895	96831
302	42026	96675
303	42162	96530
304	42268	96317
305	42380	96118
306	42494	95924
307	42605	95723
308	42712	95515
309	42823	95317
310	42925	95099
311	43042	94914
312	43175	94764
313	43335	94674
314	43476	94543
315	43588	94350
316	43708	94173
317	43823	93986
318	43939	93801
319	44084	93679
320	44211	93518
321	44353	93391
322	44518	93309
323	44695	93252
324	44869	93190
325	45025	93088
326	45193	93012
327	45361	92935
328	45526	92852
329	45722	92831
330	45924	92820
331	46115	92786
332	46263	92665
333	46408	92538
334	46525	92357
335	46646	92182
336	46765	92004
337	46901	91860
338	47045	91732
339	47228	91678
340	47366	91538
341	47485	91360
342	47594	91164
343	47716	90993
344	47832	90811
345	47956	90646
346	48079	90478
347	48198	90303
348	48348	90186
349	48492	90058
350	48626	89910
351	48746	89738
352	48874	89580
353	49010	89437
354	49117	89241
355	49230	89058
356	49366	88914
357	49498	88765
358	49636	88627
359	49775	88489
360	49925	88371
361	50051	88212
362	50173	88045
363	50300	87887
364	50444	87760
365	50586	87627
366	50717	87476
367	50848	87327
368	50955	87136
369	51094	86999
370	51220	86840
371	51350	86687
372	51502	86574
373	51619	86400
374	51744	86241
375	51873	86088
376	52047	86009
377	52242	85964
378	52459	85955
379	52635	85879
380	52823	85820
381	52984	85718
382	53131	85592
383	53256	85432
384	53408	85315
385	53561	85199
386	53736	85117
387	53875	84979
388	53996	84811
389	54117	84645
390	54228	84463
391	54374	84336
392	54578	84297
393	54704	84138
394	54823	83970
395	54944	83804
396	55058	83628
397	55177	83459
398	55324	83334
399	55485	83227
400	55740	83263
401	55927	83194
402	56076	83071
403	56198	82907
404	56328	82754
405	56458	82601
406	56573	82427
407	56697	82267
408	56815	82097
409	56937	81934
410	57060	81772
411	57195	81628
412	57342	81501
413	57519	81416
414	57671	81296
415	57800	81143
416	57960	81033
417	58092	80885
418	58213	80720
419	58350	80579
420	58482	80430
421	58615	80283
422	58732	80114
423	58856	79955
424	58986	79804
425	59110	79646
426	59246	79504
427	59386	79366
428	59555	79269
429	59698	79135
430	59832	78989
431	59977	78859
432	60102	78702
433	60216	78530
434	60351	78387
435	60468	78220
436	60592	78063
437	60707	77894
438	60831	77736
439	60948	77570
440	61063	77403
441	61183	77240
442	61311	77089
443	61441	76939
444	61555	76772
445	61670	76604
446	61797	76452
447	61919	76293
448	62086	76190
449	62205	76029
450	62340	75887
451	62474	75742
452	62633	75630
453	62763	75482
454	62885	75324
455	63009	75168
456	63127	75007
457	63242	74841
458	63374	74695
459	63493	74535
460	63622	74387
461	63753	74240
462	63894	74106
463	64010	73942
464	64150	73807
465	64309	73694
466	64446	73554
467	64568	73398
468	64716	73272
469	64839	73117
470	64979	72980
471	65111	72836
472	65272	72724
473	65413	72589
474	65545	72445
475	65691	72316
476	65838	72187
477	65986	72060
478	66138	71937
479	66271	71793
480	66382	71626
481	66505	71473
482	66640	71331
483	66812	71229
484	66976	71119
485	67122	70989
486	67255	70846
487	67384	70698
488	67514	70551
489	67637	70397
490	67769	70254
491	67916	70125
492	68055	69988
493	68195	69852
494	68332	69712
495	68472	69576
496	68622	69451
497	68785	69338
498	68934	69210
499	69059	69059
500	69177	68901
501	69308	68755
502	69423	68595
503	69563	68459
504	69690	68310
505	69809	68153
506	69933	68002
507	70049	67843
508	70201	67719
509	70333	67575
510	70456	67423
511	70588	67279
512	70710	67126
513	70829	66971
514	70937	66804
515	71061	66654
516	71206	66523
517	71333	66375
518	71460	66228
519	71574	66068
520	71703	65923
521	71815	65761
522	71926	65599
523	72051	65451
524	72190	65315
525	72308	65159
526	72443	65020
527	72572	64875
528	72705	64734
529	72827	64582
530	72956	64437
531	73071	64281
532	73184	64122
533	73318	63981
534	73442	63833
535	73567	63685
536	73685	63531
537	73807	63380
538	73928	63230
539	74034	63066
540	74162	62921
541	74301	62786
542	74421	62634
543	74553	62493
544	74723	62383
545	74926	62301
546	75133	62222
547	75350	62150
548	75490	62014
549	75610	61863
550	75780	61752
551	75941	61633
552	76145	61549
553	76304	61429
554	76437	61287
555	76562	61140
556	76690	60994
557	76827	60856
558	76980	60730
559	77162	60627
560	77366	60541
561	77529	60423
562	77697	60308
563	77844	60177
564	77975	60034
565	78120	59901
566	78251	59758
567	78390	59621
568	78512	59470
569	78649	59332
570	78770	59181
571	78918	59050
572	79056	58913
573	79195	58776
574	79342	58644
575	79485	58510
576	79605	58359
577	79733	58213
578	79877	58079
579	79993	57926
580	80112	57775
581	80240	57629
582	80393	57502
583	80524	57360
584	80652	57215
585	80764	57058
586	80895	56915
587	81029	56775
588	81163	56635
589	81299	56496
590	81437	56358
591	81562	56211
592	81689	56066
593	81816	55921
594	81961	55788
595	82093	55647
596	82217	55500
597	82365	55369
598	82534	55252
599	82702	55135
600	82849	55003
601	82983	54862
602	83111	54718
603	83252	54582
604	83406	54455
605	83536	54312
606	83672	54173
607	83805	54032
608	83935	53889
609	84066	53747
610	84209	53612
611	84364	53486
612	84507	53351
613	84616	53195
614	84743	53050
615	84878	52911
616	84992	52759
617	85109	52608
618	85238	52464
619	85372	52325
620	85494	52177
621	85625	52035
622	85757	51894
623	85890	51754
624	86034	51620
625	86152	51471
626	86276	51325
627	86405	51182
628	86524	51034
629	86655	50892
630	86783	50749
631	86894	50596
632	87014	50448
633	87139	50304
634	87257	50155
635	87383	50011
636	87502	49864
637	87627	49719
638	87754	49576
639	87883	49434
640	88034	49304
641	88155	49158
642	88279	49013
643	88390	48862
644	88505	48712
645	88624	48565
646	88751	48422
647	88868	48274
648	88990	48128
649	89104	47979
650	89221	47831
651	89357	47694
652	89503	47561
653	89619	47413
654	89751	47273
655	89909	47147
656	90069	47022
657	90201	46882
658	90334	46743
659	90469	46605
660	90605	46467
661	90733	46325
662	90860	46183
663	91010	46053
664	91175	45930
665	91307	45790
666	91431	45647
667	91547	45499
668	91683	45362
669	91801	45215
670	91920	45069
671	92048	44928
672	92175	44786
673	92294	44640
674	92415	44496
675	92524	44346
676	92670	44213
677	92792	44069
678	92914	43925
679	93038	43782
680	93175	43645
681	93310	43508
682	93470	43382
683	93605	43244
684	93717	43096
685	93829	42948
686	93964	42810
687	94090	42668
688	94231	42534
689	94395	42409
690	94572	42290
691	94740	42167
692	94886	42035
693	95029	41900
694	95160	41761
695	95284	41618
696	95408	41476
697	95539	41336
698	95654	41190
699	95762	41041
700	95890	40900
701	96005	40754
702	96114	40606
703	96233	40461
704	96359	40320
705	96478	40176
706	96609	40037
707	96723	39891
708	96842	39747
709	96971	39608
710	97098	39467
711	97229	39328
712	97347	39184
713	97468	39041
714	97603	38904
715	97714	38758
716	97838	38616
717	97956	38473
718	98088	38335
719	98228	38200
720	98371	38066
721	98496	37925
722	98636	37790
723	98754	37646
724	98882	37507
725	99024	37372
726	99155	37234
727	99269	37089
728	99384	36945
729	99505	36803
730	99643	36667
731	99810	36542
732	99952	36408
733	100104	36277
734	100243	36142
735	100362	35999
736	100490	35860
737	100615	35719
738	100740	35579
739	100867	35439
740	101038	35315
741	101228	35198
742	101383	35067
743	101536	34937
744	101706	34812
745	101950	34712
746	102101	34580
747	102230	34441
748	102358	34301
749	102480	34160
750	102595	34016
751	102741	33882
752	102864	33741
753	103008	33607
754	103142	33470
755	103280	33333
756	103417	33197
757	103545	33058
758	103677	32920
759	103791	32776
760	103898	32630
761	104058	32501
762	104228	32375
763	104379	32242
764	104540	32113
765	104680	31977
766	104799	31836
767	104979	31712
768	105122	31577
769	105257	31440
770	105379	31299
771	105506	31159
772	105627	31018
773	105763	30881
774	105933	30755
775	106092	30624
776	106210	30482
777	106330	30340
778	106451	30200
779	106574	30059
780	106692	29917
781	106822	29779
782	106932	29635
783	107069	29498
784	107194	29359
785	107327	29221
786	107459	29083
787	107612	28951
788	107744	28813
789	107868	28673
790	108010	28538
791	108137	28399
792	108257	28258
793	108386	28120
794	108503	27978
795	108642	27843
796	108774	27705
797	108920	27571
798	109044	27431
799	109173	27293
800	109281	27149
801	109409	27011
802	109546	26875
803	109671	26735
804	109794	26596
805	109906	26453
806	110026	26313
807	110145	26173
808	110299	26041
809	110453	25908
810	110574	25768
811	110694	25628
812	110819	25489
813	110944	25351
814	111072	25212
815	111191	25072
816	111314	24933
817	111432	24792
818	111555	24653
819	111671	24513
820	111796	24374
821	111912	24234
822	112026	24093
823	112147	23953
824	112283	23817
825	112423	23682
826	112555	23545
827	112692	23409
828	112814	23270
829	112942	23132
830	113058	22992
831	113181	22853
832	113310	22716
833	113469	22585
834	113634	22454
835	113779	22320
836	113930	22187
837	114050	22047
838	114171	21908
839	114302	21771
840	114426	21633
841	114544	21494
842	114665	21355
843	114798	21218
844	114929	21081
845	115062	20945
846	115210	20811
847	115329	20672
848	115460	20535
849	115588	20397
850	115703	20258
851	115831	20120
852	115956	19983
853	116092	19847
854	116252	19715
855	116383	19578
856	116499	19439
857	116618	19300
858	116751	19164
859	116883	19027
860	116994	18887
861	117111	18748
862	117228	18609
863	117345	18471
864	117462	18332
865	117590	18195
866	117715	18057
867	117852	17922
868	117993	17787
869	118108	17648
870	118248	17513
871	118382	17377
872	118505	17239
873	118639	17103
874	118793	16970
875	118923	16833
876	119053	16697
877	119173	16559
878	119302	16422
879	119443	16287
880	119561	16149
881	119676	16011
882	119812	15875
883	119956	15740
884	120080	15603
885	120218	15468
886	120333	15329
887	120451	15192
888	120565	15053
889	120715	14919
890	120835	14782
891	120949	14644
892	121069	14506
893	121192	14369
894	121303	14231
895	121410	14092
896	121530	13955
897	121650	13817
898	121770	13680
899	121890	13543
900	122020	13407
901	122151	13271
902	122270	13134
903	122397	12997
904	122515	12860
905	122628	12723
906	122762	12587
907	122892	12451
908	123019	12315
909	123134	12178
910	123255	12041
911	123408	11907
912	123531	11771
913	123657	11635
914	123784	11499
915	123931	11364
916	124078	11230
917	124198	11093
918	124323	10957
919	124445	10821
920	124563	10684
921	124684	10548
922	124803	10411
923	124932	10275
924	125062	10140
925	125229	10007
926	125378	9873
927	125543	9740
928	125698	9606
929	125822	9470
930	125941	9333
931	126058	9197
932	126181	9061
933	126301	8924
934	126431	8789
935	126581	8655
936	126702	8518
937	126832	8383
938	126949	8246
939	127067	8110
940	127191	7974
941	127318	7839
942	127446	7703
943	127571	7567
944	127700	7432
945	127821	7296
946	127944	7160
947	128095	7026
948	128204	6889
949	128323	6753
950	128452	6618
951	128573	6482
952	128695	6346
953	128828	6211
954	128979	6077
955	129148	5944
956	129280	5808
957	129419	5673
958	129554	5538
959	129695	5403
960	129822	5268
961	129950	5133
962	130087	4998
963	130215	4862
964	130365	4728
965	130501	4593
966	130610	4457
967	130728	4321
968	130843	4185
969	130976	4050
970	131105	3915
971	131226	3780
972	131360	3645
973	131506	3510
974	131631	3375
975	131778	3240
976	131898	3105
977	132026	2969
978	132145	2834
979	132290	2699
980	132415	2564
981	132547	2429
982	132723	2295
983	132849	2160
984	132982	2025
985	133108	1889
986	133235	1754
987	133371	1619
988	133487	1484
989	133611	1349
990	133720	1214
991	133838	1079
992	133963	944
993	134080	809
994	134198	674
995	134339	539
996	134460	404
997	134583	269
998	134713	134
999	134836	0
