iter	RMSE
0	119.5027003
1	115.5876015
2	112.340009
3	109.4500321
4	106.9810155
5	104.910437
6	103.0785891
7	101.2281442
8	99.51182904
9	98.11550683
10	96.06764975
11	94.89122106
12	93.67898579
13	92.63545318
14	91.82108261
15	91.0761921
16	90.2524517
17	89.61144871
18	89.03674338
19	87.71766819
20	87.27392737
21	86.65100568
22	86.18180783
23	85.67656972
24	83.10705241
25	80.95832448
26	80.49249013
27	79.27201605
28	78.33011931
29	78.00605585
30	77.53444735
31	76.71318349
32	76.04004205
33	75.77663935
34	75.3433643
35	73.54025336
36	73.17184099
37	72.91579053
38	71.44318117
39	70.66185858
40	70.38420314
41	70.1204771
42	69.80804448
43	69.58860582
44	68.37504747
45	68.02226656
46	67.23579391
47	66.89326092
48	66.61519726
49	66.09407809
50	65.79571237
51	65.58137185
52	65.30652465
53	65.0469636
54	64.86731555
55	64.17107483
56	63.06538287
57	62.90424083
58	62.67445499
59	62.26334794
60	62.0762432
61	61.74269823
62	61.5259608
63	61.17155871
64	60.16195785
65	59.79436858
66	59.57342114
67	59.4115501
68	59.18223984
69	58.99076512
70	58.79472654
71	58.59996143
72	58.29691395
73	58.10936083
74	57.85421933
75	57.64131271
76	57.47522105
77	56.77499693
78	56.63299411
79	56.47354591
80	56.26085561
81	55.66900945
82	55.52388251
83	55.43078532
84	54.8912047
85	54.68354767
86	54.56260047
87	54.44839211
88	54.31499965
89	54.13906054
90	54.03852519
91	53.90736391
92	53.70470094
93	53.60578626
94	53.48173406
95	53.3303213
96	52.88974557
97	52.57965465
98	52.45545178
99	52.37763687
100	52.27550059
101	52.14514672
102	51.94273484
103	51.83194115
104	51.67527993
105	51.56987568
106	51.36969897
107	51.2689187
108	51.15723095
109	51.07488479
110	50.96183884
111	50.87410253
112	50.78140488
113	50.71450472
114	50.5969161
115	50.44412341
116	50.37603435
117	50.24533142
118	50.17842419
119	50.02941894
120	49.93778958
121	49.81114475
122	49.6261017
123	49.53376642
124	49.45040213
125	49.22324456
126	49.00308534
127	48.66700406
128	48.37461697
129	48.22275141
130	48.1092649
131	47.8880623
132	47.79870111
133	47.7109457
134	47.62481894
135	47.5806866
136	47.49887186
137	47.42027869
138	47.33199987
139	47.22030285
140	47.0797341
141	46.87759729
142	46.81162946
143	46.73868431
144	46.64130147
145	46.51061501
146	46.40191717
147	46.31873495
148	46.22958544
149	46.14793874
150	46.04851197
151	45.95390561
152	45.8825572
153	45.72322503
154	45.64841401
155	45.58767277
156	45.52618064
157	45.46205325
158	45.32406918
159	45.07727505
160	45.03036536
161	44.95745785
162	44.86327837
163	44.79032233
164	44.62111406
165	44.47800787
166	44.41699901
167	44.33568603
168	44.23363469
169	44.17328095
170	44.11151159
171	43.99368707
172	43.88266978
173	43.72969358
174	43.64408457
175	43.57658063
176	43.5203797
177	43.4495369
178	43.36678538
179	43.30500747
180	43.17044248
181	43.12415078
182	43.04279145
183	42.98816555
184	42.90273466
185	42.84736455
186	42.74743655
187	42.57234097
188	42.3423604
189	42.29785118
190	42.23411865
191	42.0607686
192	41.99944233
193	41.93656773
194	41.87128499
195	41.80568694
196	41.69119672
197	41.57454651
198	41.52383712
199	41.36460435
200	41.29417581
201	41.25315621
202	41.20277832
203	41.12805103
204	41.07902439
205	41.02263761
206	40.94800342
207	40.85935263
208	40.79093487
209	40.6443118
210	40.58427074
211	40.51468462
212	40.4795543
213	40.43066513
214	40.37758558
215	40.27943161
216	40.2108612
217	40.16157916
218	40.07976084
219	39.99875576
220	39.95475603
221	39.84961953
222	39.78432381
223	39.72746672
224	39.64720326
225	39.57995774
226	39.49645407
227	39.44530576
228	39.39168626
229	39.33697442
230	39.30045776
231	39.27231122
232	39.14246853
233	39.06941281
234	38.9950862
235	38.95518236
236	38.89707569
237	38.83252053
238	38.74840545
239	38.67734335
240	38.58396401
241	38.50840933
242	38.43792743
243	38.3699818
244	38.33594364
245	38.25462925
246	38.20973686
247	38.17816109
248	38.11695731
249	38.05458534
250	38.00719871
251	37.94634096
252	37.86732117
253	37.77342379
254	37.69930669
255	37.66151864
256	37.63508723
257	37.61311
258	37.55232313
259	37.44955795
260	37.42286186
261	37.3632593
262	37.28972346
263	37.25098195
264	37.20332751
265	37.14537259
266	37.09154395
267	37.05358819
268	37.02365846
269	36.96174635
270	36.89698759
271	36.84796555
272	36.7880935
273	36.71928136
274	36.61054267
275	36.55898061
276	36.483584
277	36.4242747
278	36.3783357
279	36.32892628
280	36.23197508
281	36.19698784
282	36.13526847
283	36.08074031
284	36.01938316
285	35.97103781
286	35.92873418
287	35.87964213
288	35.79799851
289	35.77157862
290	35.74541684
291	35.68643978
292	35.63816142
293	35.57469298
294	35.52036445
295	35.44938545
296	35.37636378
297	35.345716
298	35.30763279
299	35.28015982
300	35.24440811
301	35.2104714
302	35.14499431
303	35.09741077
304	35.07312397
305	35.03237373
306	34.98845693
307	34.95258017
308	34.92330449
309	34.88872536
310	34.86856445
311	34.82714203
312	34.79076801
313	34.75791944
314	34.71421981
315	34.67646908
316	34.60735764
317	34.57432645
318	34.53082529
319	34.45305093
320	34.39932423
321	34.35137058
322	34.30561384
323	34.2811306
324	34.24230738
325	34.16323465
326	34.10953508
327	34.04552298
328	33.98539294
329	33.92871325
330	33.8875759
331	33.83441954
332	33.76176538
333	33.73519233
334	33.71957495
335	33.62911028
336	33.59908238
337	33.55098308
338	33.49088989
339	33.42416233
340	33.38119064
341	33.34386845
342	33.30193148
343	33.24767386
344	33.16480649
345	33.11722922
346	33.08406711
347	33.06735709
348	33.0402045
349	33.01080247
350	32.95130075
351	32.90857526
352	32.8633762
353	32.81744938
354	32.79480845
355	32.74792202
356	32.69847951
357	32.66110587
358	32.61401615
359	32.56839538
360	32.52093991
361	32.46669293
362	32.41773702
363	32.38502892
364	32.351151
365	32.30326823
366	32.26775561
367	32.23155728
368	32.20485688
369	32.15070662
370	32.10693017
371	32.05654937
372	31.9852738
373	31.95376665
374	31.90502819
375	31.86789293
376	31.83071862
377	31.79420907
378	31.75390493
379	31.7253181
380	31.69064548
381	31.64015095
382	31.59272617
383	31.55102694
384	31.49912242
385	31.47412105
386	31.42467409
387	31.38472749
388	31.35660618
389	31.31766583
390	31.28687146
391	31.26425275
392	31.20135192
393	31.16997745
394	31.14033063
395	31.089672
396	31.06379156
397	31.02414067
398	30.99048465
399	30.93490629
400	30.89839331
401	30.87065343
402	30.83336125
403	30.81018974
404	30.77730422
405	30.73781127
406	30.70273586
407	30.6810725
408	30.64699462
409	30.61611892
410	30.5937382
411	30.5500233
412	30.51722188
